wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
209.78,27.216,0.93584,33.958,4.9974,26.534,-10.388
210.64,2.2216,-11.146,11.192,6.0499,-1.536,-18.135
211.5,3.3271,0.43219,19.415,11.172,-10.046,-29.962
212.36,4.0221,9.4005,-9.3329,-10.075,4.5326,7.7818
213.22,-1.8938,-19.071,-28.802,-6.0535,8.501,21.056
214.08,-6.6909,-27.062,-15.942,6.2379,-15.041,-2.2179
214.94,-4.5594,-14.003,8.8063,7.5687,-33.605,-25.19
215.8,-0.94978,-33.944,12.953,6.7189,-0.41913,-17.58
216.66,-9.1721,13.368,20.607,-6.8218,41.615,-18.478
217.52,-4.6967,6.4816,-2.1905,-13.594,9.1693,11.088
218.38,-0.98353,7.1786,-15.161,2.3531,21.383,-7.0418
219.24,-23.663,0.84955,5.1966,-13.401,7.615,-24.016
220.1,-32.824,-6.6449,8.8007,-18.048,-14.334,-28.445
220.96,-13.138,-10.834,-7.1586,-10.865,-17.344,1.4241
221.82,8.3258,-8.327,-13.802,-9.1438,-9.4455,32.052
222.68,-5.491,2.5668,-6.2187,-1.3334,-24.429,-29.751
223.54,-6.2385,-10.371,-11.7,-35.073,15.206,-13.112
224.4,-6.9859,31.989,1.2344,-2.6034,14.59,18.599
225.25,-25.403,14.949,-2.8056,-14.313,-12.958,26.165
226.11,-20.208,-0.090467,-21.88,0.14993,-12.337,1.5364
226.97,-26.381,-19.839,-46.508,-13.025,-18.967,-19.586
227.83,-31.46,-32.936,-47.181,-33.016,-28.078,-17.36
228.69,3.0062,-20.16,-12.017,-5.5532,-4.3096,-6.4247
229.55,16.909,-31.461,-1.0149,-40.634,2.6293,-10.319
230.41,-10.79,7.023,-3.0538,-17.807,-37.771,-10.931
231.27,9.9921,4.2134,2.0578,23.299,-18.569,37.751
232.13,19.446,0.14178,-12.739,14.317,-20.275,12.059
232.99,30.393,5.4597,-3.9923,1.0684,-7.2158,-13.497
233.85,16.645,17.389,17.499,3.3246,-4.8114,-9.4034
234.71,-16.648,16.68,23.196,8.2876,-18.04,0.53997
235.57,-16.813,-8.6346,10.601,-3.2011,-2.6992,-8.1449
236.43,1.8302,-5.3544,1.3737,-24.25,12.272,2.7235
237.29,-18.807,15.922,-21.534,21.363,7.6057,11.927
238.15,-11.354,3.8556,18.519,16.96,-3.1064,32.547
239.01,-2.8593,6.3778,-8.246,0.73093,1.6674,12.705
239.87,-11.58,6.3895,-19.139,0.36891,9.7286,-2.2366
240.72,-6.0562,-9.5381,-7.1173,17.835,8.509,7.7219
241.58,22.225,-16.654,-0.52098,37.43,4.42,22.402
242.44,22.505,26.492,22.522,42.757,19.603,18.886
243.3,44.726,57.542,9.3024,28.475,49.9,27.493
244.16,34.398,28.617,11.522,-2.0943,7.3415,31.874
245.02,-7.067,28.678,8.1817,-5.89,14.719,26.741
245.88,11.732,58.074,21.182,40.748,17.613,28.232
246.74,46.065,61.068,49.625,55.531,24.966,27.389
247.6,39.394,36.158,59.86,46.659,25.906,29.04
248.46,4.559,20.176,29.708,52.123,9.5661,47.996
249.32,18.04,15.63,-5.2499,13.093,14.055,77.735
250.18,36.218,2.5415,-3.494,6.9085,34.174,54.436
251.04,23.432,44.79,53.586,27.581,-16.059,13.578
251.9,-5.5174,36.794,27.731,18.839,11.818,10.401
252.76,5.3291,22.653,10.442,15.414,35.464,30.032
253.62,19.831,2.7778,8.8874,18.104,26.399,25.591
254.48,13.838,-15.094,16.608,12.59,19.852,0.45639
255.34,7.71,-17.034,23.055,-5.0702,32.313,-0.5842
256.2,21.095,-15.722,-11.144,-16.386,-9.1101,28.848
257.05,0.27348,32.58,5.6616,-10.94,-11.457,-22.13
257.91,42.943,22.403,25.802,-5.4512,-10.49,15.101
258.77,16.174,-12.876,11.265,23.079,9.5501,25.548
259.63,13.284,21.924,-10.917,1.9809,-6.827,42.8
260.49,17.143,39.02,-7.4478,-1.0568,-20.813,24.175
261.35,-3.5429,8.0317,11.634,30.355,-6.2477,-3.3111
262.21,-27.194,-3.9521,20.056,34.216,11.927,13.18
263.07,-3.5117,6.6966,37.03,7.646,10.211,-14.684
263.93,16.952,3.6764,3.3328,-17.258,14.154,-28.826
264.79,-17.405,8.8657,21.205,12.695,25.474,-24.96
265.65,23.557,11.163,-10.776,-11.129,3.3302,-11.526
266.51,2.1861,18.826,-16.89,6.3216,5.3122,-22.639
267.37,-14.63,17.894,7.7703,9.2941,12.198,-25.518
268.23,9.0984,2.4535,19.795,1.2777,0.20703,-3.1971
269.09,15.189,-11.377,-6.3575,39.301,-17.643,11.453
269.95,3.0694,-4.2889,-32.698,36.033,-17.523,-16.489
270.81,-22.711,-22.955,-45.309,-11.468,-22.224,-1.7544
271.66,-18.124,-63.828,-19.32,3.4061,-36.789,-20.695
272.52,-21.972,-28.069,-11.692,9.194,-33.166,-9.1031
273.38,-23.906,-15.839,14.094,-2.7163,-8.0873,-14.329
274.24,-34.657,-7.7597,20.859,-23.106,13.207,-0.97346
275.1,-32.606,-0.011129,20.572,-30.318,19.938,22.772
275.96,-2.4532,-23.074,34.773,-14.273,12.384,12.336
276.82,-10.329,-40.18,-22.559,-1.7618,-21.465,1.4282
277.68,-14.225,3.3721,8.7051,-11.586,13.33,6.4769
278.54,5.181,-7.189,-24.095,5.2131,9.0103,-10.959
279.4,-6.0425,-8.593,-14.991,-0.63499,6.8441,-13.322
280.26,-13.125,-0.69984,-5.6533,0.088612,12.141,-12.422
281.12,1.8331,24.77,9.5785,1.3729,21.581,-15.07
281.98,12.552,25.258,9.8736,2.117,2.8927,-18.598
282.84,2.8829,-17.077,-6.6084,7.0098,-39.215,-19.577
283.7,19.425,-9.846,36.542,2.9503,-15.162,-20.657
284.56,23.438,-12.798,10.814,-4.2525,-0.51003,-6.1082
285.42,14.691,4.6562,15.698,8.9502,9.051,36.498
286.27,0.43592,34.427,0.44139,-5.6126,7.5106,50.113
287.13,2.7304,8.944,0.26464,-4.772,35.278,13.894
287.99,18.234,9.5672,-1.4136,7.5107,30.113,-21.048
288.85,27.527,38.816,-8.8044,19.885,9.3148,-22.033
289.71,33.188,40.11,-3.4686,21.539,17.082,1.8763
290.57,57.646,20.408,21.603,2.8312,13.653,23.891
291.43,10.689,17.42,17.789,0.831,-4.2126,21.58
292.29,-2.9726,8.2842,24.49,3.1865,8.5829,-10.556
293.15,11.388,-30.331,-2.0075,-6.534,-1.2018,7.7808
294.01,8.7501,-15.407,-10.503,-11.282,-5.1982,6.4804
294.87,-20.238,18.925,4.4605,-20.569,18.122,-18.998
295.73,-17.898,15.225,14.263,-38.507,3.8879,-34.295
296.59,6.8881,-12.49,-3.3375,-34.656,-46.533,-32.722
297.45,-32.3,4.6596,-31.082,20.852,-26.632,-39.329
298.31,-36.875,19.833,-17.353,40.578,-0.33026,-7.2053
299.17,-10.096,-17.582,-2.8003,-60.121,-35.939,11.339
300.03,-45.025,-16.276,-49.946,-17.704,-40.729,-27.886
300.88,-53.373,-38.151,-27.55,-29.021,-25.291,-21.968
301.74,-56.789,-44.337,-30.463,-40.574,-16.805,-27.019
302.6,-38.904,-36.966,-38.866,-27.252,-17.292,-41.717
303.46,-9.2052,-25.828,-28.869,-17.613,-16.16,-43.16
304.32,-2.2123,-10.223,-25.27,-24.488,-10.33,-30.577
305.18,11.936,-9.09,-6.9289,11.184,-9.4413,-12.266
306.04,13.952,-7.9791,-23.325,0.0057818,-2.1227,-14.165
306.9,-27.434,-36.09,9.5034,-5.3624,-9.0037,8.1182
307.76,-22.59,-10.741,14.277,1.0306,-29.584,8.8371
308.62,4.8357,-19.263,0.5778,7.6563,-17.332,25.744
309.48,11.844,-23.173,-14.694,-3.5943,-18.636,25.141
310.34,8.9272,-3.4607,-5.5658,-11.73,-26.377,16.23
311.2,25.657,12.755,24.002,4.9402,-1.8213,21.293
312.06,43.764,15.137,24.912,17.528,32.252,12.193
312.92,30.71,15.055,19.265,9.2741,57.925,46.05
313.78,14.175,-16.598,66.211,82.55,70.398,15.876
314.64,65.232,-12.183,47.892,8.3666,19.885,34.833
315.49,23.55,20.983,8.1982,49.565,16.615,44.171
316.35,24.589,27.351,19.69,50.185,30.31,33.641
317.21,42.871,13.112,55.538,16.109,29.862,17.335
318.07,25.184,24.627,69.762,26.717,26.001,19.982
318.93,15.37,64.887,62.983,58.09,31.897,36.922
319.79,11.737,43.542,37.971,34.827,1.4319,-3.4445
320.65,15.485,42.673,40.827,-4.8009,9.4846,-3.6376
321.51,16.754,19.43,54.45,48.347,21.686,10.262
322.37,2.8915,6.8134,21.77,6.4591,18.495,-5.5348
323.23,-7.4122,-11.237,20.697,-2.5532,3.7915,-13.8
324.09,5.8714,2.6387,25.482,-1.1606,-9.3741,-6.722
324.95,-2.9985,15.31,23.532,-4.5431,-0.34275,1.7977
325.81,-42.353,-11.222,11.958,4.1692,9.8752,-0.94051
326.67,-17.343,-22.339,-33.702,7.3863,-26.931,-12.997
327.53,-7.2992,-35.531,-7.5193,7.998,28.549,-26.991
328.39,9.6981,9.5734,-13.524,-12.276,10.075,-20.973
329.24,-16.321,11.624,-6.2463,-41.135,-10.725,-18.872
330.1,-41.978,15.41,-28.538,-19.88,-33.85,-7.9491
330.96,-25.503,-7.5768,-26.439,-14.271,-27.931,2.7381
331.82,-4.2141,-30.877,-16.78,-11.417,-15.718,5.3398
332.68,-3.1726,-6.1403,-15.31,7.0428,-11.811,3.2469
333.54,-11.548,38.964,-7.98,13.119,-6.0389,-5.8399
334.4,-42.168,-17.424,-13.249,-5.7278,-11.582,-35.92
335.26,7.5353,-8.5943,-3.4067,19.963,27.409,37.398
336.12,28.875,22.594,10.737,3.5222,-28.173,35.944
336.98,28.511,83.502,8.594,-4.47,44.591,13.66
337.84,29.895,83.049,46.873,18.987,34.843,20.037
338.7,59.876,102.53,55.266,51.843,53.471,35.814
339.56,87.435,107.05,66.593,57.969,88.138,54.232
340.42,89.333,69.09,100.05,58.795,78.182,74.94
341.28,98.908,76.658,90.987,104.16,69.084,88.52
342.14,137.37,133.76,102.15,121.2,84.603,106.83
343,142.8,196.65,156.24,140.7,154.63,121.85
343.85,174.87,146.34,143.75,137.75,140.6,128.56
344.71,174.18,148.36,138.45,126.88,121.84,121.1
345.57,154.53,147.36,164.89,129.61,104.45,134.67
346.43,164.3,146.35,177.24,138.9,99.445,141.77
347.29,191.4,152.42,164.86,130.73,122.09,136.21
348.15,187.29,159.77,156.1,105.04,153.43,130.56
349.01,149.49,161.03,152.96,93.902,149.04,124.68
349.87,147.91,132.51,99.669,93.524,148.32,139
350.73,166.66,157.35,120.08,103.32,132.38,99.147
351.59,159.32,143.07,138.89,115.56,135.98,141.62
352.45,191.14,135.88,147.69,111.14,121.63,124.59
353.31,164.78,122.61,145.04,118.23,135.18,126.67
354.17,141.88,110.6,148.94,136.23,129.04,149.58
355.03,178.13,121.12,160.05,158.89,109.7,145.24
355.89,218.37,138.61,155.84,168.41,121.52,120.28
356.75,178.65,117.53,128.75,144.21,140.87,148.23
357.61,159.69,131.29,141.66,155.91,128.49,175.32
358.46,178.48,181.13,168.33,171.07,166.72,137.23
359.32,195.62,164.68,182.85,182.98,169.38,156.55
360.18,190.31,172.28,187.81,186.91,158.05,178.11
361.04,215.79,164.33,195.16,164.7,159.65,175.86
361.9,221.39,162.96,183.55,150.99,150.44,174.17
362.76,186.14,158.87,167.87,155.13,137.77,165.77
363.62,155.08,139.1,165.6,159.76,143.75,127.84
364.48,156.49,137.71,143.67,156.78,147.81,90.413
365.34,142.17,76.004,118.9,103.04,143.91,111.03
366.2,145.84,96.593,97.535,108.45,106.54,106.79
367.06,130.02,94.46,101.34,128.48,77.282,81.454
367.92,96.888,69.777,99.139,85.314,88.83,110.96
368.78,86.864,55.063,75.763,60.403,88.599,105.38
369.64,71.281,55.809,80.881,50.956,95.818,63.406
370.5,54.589,53.055,86.66,52.852,81.038,29.119
371.35,55.489,41.031,56.252,61.862,35.949,26.309
372.21,44.22,40.328,45.447,42.015,40.881,34.667
373.07,17.213,39.144,37.225,18.041,26.604,10.651
373.93,-0.48433,28.659,7.8469,27.94,11.467,16.28
374.79,-32.221,-18.997,-14.929,16.352,2.1193,-27.666
375.65,19.572,9.3337,0.10884,5.9548,-8.9293,-1.6183
376.51,7.2945,2.0312,18.719,-9.2212,-32.67,2.1817
377.37,8.206,-10.226,16.802,-13.457,-32.583,8.3133
378.23,16.966,-14.248,-3.1324,-13.774,0.77091,14.456
379.09,3.0039,-10.727,-9.1048,-10.423,21.672,-2.1022
379.95,21.529,19.537,9.2946,10.366,-4.5308,-22.491
380.81,0.71041,7.4032,-33.615,-4.0378,0.68325,-37.183
381.67,7.9473,29.951,-0.58275,-10.195,4.2437,28.212
382.53,-44.321,14.239,-24.5,-1.9056,-16.85,-0.75716
383.39,-20.857,25.586,-2.2359,-6.2606,3.8824,-19.541
384.25,-18.959,-17.548,-8.8008,-2.5304,-8.5996,-6.1196
385.1,-11.15,-30.766,-3.0942,-1.2851,-31.746,-18.344
385.96,-3.9082,-19.049,11.424,-8.1552,-36.637,-34.596
386.82,-10.215,-26.188,8.2047,-14.741,-11.252,-26.624
387.68,-11.599,-40.184,-8.5025,-17.503,19.779,-15.129
388.54,-16.712,-44.627,-28.697,-23.48,-14.803,5.0602
389.4,-13.102,-22.098,-10.789,43.516,3.0125,-15.237
390.26,5.5493,-13.736,28.372,-35.553,13.737,-29.35
391.12,0.98372,-14.072,23.358,12.533,-6.7205,-39.527
391.98,-2.3387,-6.9335,13.817,-13.846,-10.958,5.3206
392.84,-5.2477,-17.861,-18.829,-23.48,-26.435,28.466
393.7,-4.6827,-10.103,-23.38,-8.338,-20.662,18.099
394.56,-0.56346,-0.18944,-19.597,-11.039,-6.8972,4.1215
395.42,-10.139,-21.378,-35.538,-23.302,-16.679,8.2939
396.28,-41.72,-11.029,12.217,-2.5972,-0.46728,31.317
397.14,-9.1746,24.58,14.428,4.2277,15.97,35.451
397.99,11.398,-52.231,24.377,3.3436,20.425,-15.353
398.85,5.5181,8.9313,-13.555,7.4217,-2.3726,17.295
399.71,-3.9925,37.647,11.511,19.833,31.659,12.214
400.57,-9.5531,29.268,23.268,7.1087,25.832,-35.654
401.43,4.7072,-0.31374,8.8645,14.72,-3.055,-42.991
402.29,12.17,3.3321,-7.8583,16.966,-3.1999,-1.425
403.15,7.1851,37.097,-6.1302,-1.06,27.557,18.834
404.01,19.695,41.092,13.059,12.411,38.678,-3.6538
404.87,13.779,62.507,28.89,29.299,7.0914,30.923
405.73,42.448,34.074,64.032,75.945,67.208,44.605
406.59,56.974,44.522,83.256,72.24,60.179,84.762
407.45,114.16,91.353,124.87,83.413,88.033,110.53
408.31,108.95,161.85,121.99,135.42,109.17,126
409.17,126.91,180.6,133.13,153.77,154.34,142.25
410.03,165.23,182.46,169.1,181.33,205.13,152.48
410.89,204.23,211.6,207.28,236.75,221.79,173.61
411.74,236.72,235.78,230.52,259.54,219.92,218.04
412.6,236.53,215.99,240.16,235.01,252.26,249.18
413.46,254.87,259.56,270.54,278.88,243.1,259.18
414.32,250.44,263.5,266.37,235.08,255.87,308.82
415.18,251.13,243.71,240.15,271.84,255.09,255.85
416.04,273.72,250.13,284.98,270.79,233.42,268.5
416.9,249.95,271.19,280.92,221.25,237.85,275.17
417.76,244.43,253.68,251.67,207.78,247.26,279.11
418.62,235.83,228.46,229.87,239.56,239.77,256.84
419.48,196.34,220.03,226.96,256.02,237.53,229.16
420.34,168.47,206.18,221.39,232.63,245.84,236.14
421.2,177.69,205.13,174.37,225.19,199.65,221.82
422.06,182.84,244.23,235.17,225.02,165.99,227.84
422.92,203.65,177.34,195.19,212.7,162.74,268.62
423.78,177.37,221.14,235.34,184.66,228.13,200.35
424.63,182.53,233.32,217.24,179.93,247.27,194.37
425.49,194.94,213.79,219.12,182.35,199.69,186.21
426.35,214.64,193.01,205.87,191.6,178.86,209.23
427.21,213.07,196.78,193.55,206.64,198.35,237.29
428.07,181.23,223.84,211.7,212.25,210,227.41
428.93,161.16,239.6,223.34,197.52,204.04,210
429.79,169.72,212.67,197.68,182.08,208.25,229.4
430.65,139.63,217.55,212.21,174.93,190.27,230.52
431.51,165.99,212.73,207.35,152.78,193.45,176.05
432.37,176.8,189.94,168.18,182.99,137.78,192.79
